frame_index,event_type,count,mask_occupancy,count_delta
799,EMPTY_SCENE,0,0.0,0
800,EMPTY_SCENE,0,0.0,0
801,EMPTY_SCENE,0,0.0,0
802,EMPTY_SCENE,0,0.0,0
803,EMPTY_SCENE,0,0.0,0
804,EMPTY_SCENE,0,0.0,0
805,EMPTY_SCENE,0,0.0,0
806,EMPTY_SCENE,0,0.0,0
807,EMPTY_SCENE,0,0.0,0
808,EMPTY_SCENE,0,0.0,0
809,EMPTY_SCENE,0,0.0,0
810,EMPTY_SCENE,0,0.0,0
811,EMPTY_SCENE,0,0.0,0
812,EMPTY_SCENE,0,0.0,0
813,EMPTY_SCENE,0,0.0,0
814,EMPTY_SCENE,0,0.0,0
815,EMPTY_SCENE,0,0.0,0
816,EMPTY_SCENE,0,0.0,0
817,EMPTY_SCENE,0,0.0,0
818,EMPTY_SCENE,0,0.0,0
819,EMPTY_SCENE,0,0.0,0
820,EMPTY_SCENE,0,0.0,0
821,EMPTY_SCENE,0,0.0,0
822,EMPTY_SCENE,0,0.0,0
823,EMPTY_SCENE,0,0.0,0
824,EMPTY_SCENE,0,0.0,0
825,EMPTY_SCENE,0,0.0,0
826,EMPTY_SCENE,0,0.0,0
827,EMPTY_SCENE,0,0.0,0
828,EMPTY_SCENE,0,0.0,0
829,EMPTY_SCENE,0,0.0,0
830,EMPTY_SCENE,0,0.0,0
831,EMPTY_SCENE,0,0.0,0
